Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Brooklyn North,BKN08,6,2019,12,17.13,1.23
Brooklyn North,BKN09,6,2019,12,14.33,1.16
Brooklyn North,BKN16,6,2019,12,10.81,1.03
Brooklyn North,BKN17,6,2019,12,,
Brooklyn South,BKS06,6,2019,12,30.03,1.48
Brooklyn South,BKS07,6,2019,12,20.61,1.31
Brooklyn South,BKS10,6,2019,12,25.72,1.41
Brooklyn South,BKS11,6,2019,12,20.07,1.30
Brooklyn South,BKS12,6,2019,12,16.29,1.21
Brooklyn South,BKS13,6,2019,12,14.75,1.17
Brooklyn South,BKS14,6,2019,12,15.32,1.19
Brooklyn South,BKS15,6,2019,12,20.39,1.31
Brooklyn South,BKS18,6,2019,12,16.42,1.22
Bronx,BX01,6,2019,12,6.97,0.84
Bronx,BX02,6,2019,12,13.88,1.14
Bronx,BX03,6,2019,12,8.68,0.94
Bronx,BX04,6,2019,12,12.02,1.08
Bronx,BX05,6,2019,12,11.25,1.05
Bronx,BX06,6,2019,12,13.17,1.12
Bronx,BX07,6,2019,12,15.22,1.18
Bronx,BX08,6,2019,12,21.38,1.33
Bronx,BX09,6,2019,12,10.60,1.03
Bronx,BX10,6,2019,12,22.23,1.35
Bronx,BX11,6,2019,12,17.40,1.24
Bronx,BX12,6,2019,12,20.98,1.32
Manhattan,MN01,6,2019,12,29.47,1.47
Manhattan,MN02,6,2019,12,28.53,1.46
Manhattan,MN03,6,2019,12,14.84,1.17
Manhattan,MN04,6,2019,12,24.76,1.39
Manhattan,MN05,6,2019,12,21.43,1.33
Manhattan,MN06,6,2019,12,25.23,1.40
Manhattan,MN07,6,2019,12,28.68,1.46
Manhattan,MN08,6,2019,12,28.41,1.45
Manhattan,MN09,6,2019,12,19.13,1.28
Manhattan,MN10,6,2019,12,14.77,1.17
Manhattan,MN11,6,2019,12,11.62,1.07
Manhattan,MN12,6,2019,12,16.86,1.23
Queens East,QE07,6,2019,12,21.57,1.33
Queens East,QE08,6,2019,12,17.89,1.25
Queens East,QE10,6,2019,12,20.44,1.31
Queens East,QE11,6,2019,12,26.06,1.42
Queens East,QE12,6,2019,12,17.03,1.23
Queens East,QE13,6,2019,12,22.40,1.35
Queens East,QE14,6,2019,12,14.50,1.16
Queens West,QW01,6,2019,12,21.06,1.32
Queens West,QW02,6,2019,12,21.73,1.34
Queens West,QW03,6,2019,12,15.52,1.19
Queens West,QW04,6,2019,12,16.08,1.21
Queens West,QW05,6,2019,12,24.66,1.39
Queens West,QW06,6,2019,12,23.47,1.37
Queens West,QW09,6,2019,12,23.78,1.38
Staten Island,SI01,6,2019,12,22.17,1.35
Staten Island,SI02,6,2019,12,20.68,1.32
Staten Island,SI03,6,2019,12,22.27,1.35
Brooklyn North,BKN01,8,2019,2,15.87,1.20
Brooklyn North,BKN02,8,2019,2,20.63,1.31
Brooklyn North,BKN03,8,2019,2,12.97,1.11
Brooklyn North,BKN04,8,2019,2,15.82,1.20
Brooklyn North,BKN05,8,2019,2,10.56,1.02
Brooklyn North,BKN08,8,2019,2,16.98,1.23
Brooklyn North,BKN09,8,2019,2,14.00,1.15
Brooklyn North,BKN16,8,2019,2,9.65,0.98
Brooklyn North,BKN17,8,2019,2,14.15,1.15
Brooklyn South,BKS06,8,2019,2,29.16,1.46
Brooklyn South,BKS07,8,2019,2,20.19,1.31
Brooklyn South,BKS10,8,2019,2,24.33,1.39
Brooklyn South,BKS11,8,2019,2,18.88,1.28
Brooklyn South,BKS12,8,2019,2,15.52,1.19
Brooklyn South,BKS13,8,2019,2,14.45,1.16
Brooklyn South,BKS14,8,2019,2,15.33,1.19
Brooklyn South,BKS15,8,2019,2,19.24,1.28
Brooklyn South,BKS18,8,2019,2,15.65,1.19
Bronx,BX01,8,2019,2,7.04,0.85
Bronx,BX02,8,2019,2,13.07,1.12
Bronx,BX03,8,2019,2,8.98,0.95
Bronx,BX04,8,2019,2,11.90,1.08
Bronx,BX05,8,2019,2,10.84,1.03
Bronx,BX06,8,2019,2,14.42,1.16
Bronx,BX07,8,2019,2,14.18,1.15
Bronx,BX08,8,2019,2,20.33,1.31
Bronx,BX09,8,2019,2,9.89,1.00
Bronx,BX10,8,2019,2,20.29,1.31
Bronx,BX11,8,2019,2,16.06,1.21
Bronx,BX12,8,2019,2,19.06,1.28
Manhattan,MN01,8,2019,2,27.48,1.44
Manhattan,MN02,8,2019,2,27.35,1.44
Manhattan,MN03,8,2019,2,14.79,1.17
Manhattan,MN04,8,2019,2,23.90,1.38
Manhattan,MN05,8,2019,2,21.72,1.34
Manhattan,MN06,8,2019,2,23.70,1.37
Manhattan,MN07,8,2019,2,27.45,1.44
Manhattan,MN08,8,2019,2,26.67,1.43
Manhattan,MN09,8,2019,2,18.37,1.26
Manhattan,MN10,8,2019,2,14.55,1.16
Manhattan,MN11,8,2019,2,11.38,1.06
Manhattan,MN12,8,2019,2,16.53,1.22
Queens East,QE07,8,2019,2,20.42,1.31
Queens East,QE08,8,2019,2,17.47,1.24
Queens East,QE10,8,2019,2,19.65,1.29
Queens East,QE11,8,2019,2,24.85,1.40
Queens East,QE12,8,2019,2,14.72,1.17
Queens East,QE13,8,2019,2,21.23,1.33
Queens East,QE14,8,2019,2,13.16,1.12
Queens West,QW01,8,2019,2,20.17,1.30
Queens West,QW02,8,2019,2,21.70,1.34
Queens West,QW03,8,2019,2,14.83,1.17
Queens West,QW04,8,2019,2,15.30,1.18
Queens West,QW05,8,2019,2,24.33,1.39
Queens West,QW06,8,2019,2,,
Queens West,QW09,8,2019,2,22.15,1.35
Staten Island,SI01,8,2019,2,19.63,1.29
Staten Island,SI02,8,2019,2,20.61,1.31
Staten Island,SI03,8,2019,2,21.65,1.34
Brooklyn North,BKN01,7,2019,1,17.13,1.23
Brooklyn North,BKN02,7,2019,1,22.51,1.35
Brooklyn North,BKN03,7,2019,1,13.86,1.14
Brooklyn North,BKN04,7,2019,1,17.07,1.23
Brooklyn North,BKN05,7,2019,1,11.68,1.07
Brooklyn North,BKN08,7,2019,1,19.80,1.30
Brooklyn North,BKN09,7,2019,1,14.89,1.17
Brooklyn North,BKN16,7,2019,1,10.07,1.00
Brooklyn North,BKN17,7,2019,1,15.70,1.20
Brooklyn South,BKS06,7,2019,1,31.13,1.49
Brooklyn South,BKS07,7,2019,1,22.22,1.35
Brooklyn South,BKS10,7,2019,1,26.92,1.43
Brooklyn South,BKS11,7,2019,1,20.92,1.32
Brooklyn South,BKS12,7,2019,1,16.14,1.21
Brooklyn South,BKS13,7,2019,1,15.84,1.20
Brooklyn South,BKS14,7,2019,1,16.44,1.22
Brooklyn South,BKS15,7,2019,1,20.54,1.31
Brooklyn South,BKS18,7,2019,1,17.09,1.23
Bronx,BX01,7,2019,1,8.54,0.93
Bronx,BX02,7,2019,1,13.60,1.13
Bronx,BX03,7,2019,1,11.06,1.04
Bronx,BX04,7,2019,1,13.73,1.14
Bronx,BX05,7,2019,1,12.57,1.10
Bronx,BX06,7,2019,1,16.34,1.21
Bronx,BX07,7,2019,1,16.15,1.21
Bronx,BX08,7,2019,1,99.67,2.00
Bronx,BX09,7,2019,1,11.40,1.06
Bronx,BX10,7,2019,1,22.02,1.34
Bronx,BX11,7,2019,1,18.77,1.27
Bronx,BX12,7,2019,1,21.21,1.33
Manhattan,MN01,7,2019,1,29.05,1.46
Manhattan,MN02,7,2019,1,29.81,1.47
Manhattan,MN03,7,2019,1,15.29,1.18
Manhattan,MN04,7,2019,1,24.54,1.39
Manhattan,MN05,7,2019,1,24.06,1.38
Manhattan,MN06,7,2019,1,24.51,1.39
Manhattan,MN07,7,2019,1,28.98,1.46
Manhattan,MN08,7,2019,1,28.31,1.45
Manhattan,MN09,7,2019,1,19.35,1.29
Manhattan,MN10,7,2019,1,15.91,1.20
