Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Brooklyn North,BKN16,5,2019,11,10.14,1.01
Brooklyn North,BKN17,5,2019,11,15.45,1.19
Brooklyn South,BKS06,5,2019,11,29.78,1.47
Brooklyn South,BKS07,5,2019,11,21.01,1.32
Brooklyn South,BKS10,5,2019,11,25.64,1.41
Brooklyn South,BKS11,5,2019,11,19.84,1.30
Brooklyn South,BKS12,5,2019,11,16.67,1.22
Brooklyn South,BKS13,5,2019,11,14.82,1.17
Brooklyn South,BKS14,5,2019,11,17.23,1.24
Brooklyn South,BKS15,5,2019,11,20.33,1.31
Brooklyn South,BKS18,5,2019,11,19.12,1.28
Bronx,BX01,5,2019,11,7.09,0.85
Bronx,BX02,5,2019,11,99.12,2.00
Bronx,BX03,5,2019,11,8.98,0.95
Bronx,BX04,5,2019,11,11.69,1.07
Bronx,BX05,5,2019,11,11.14,1.05
Bronx,BX06,5,2019,11,13.40,1.13
Bronx,BX07,5,2019,11,14.63,1.17
Bronx,BX08,5,2019,11,22.93,1.36
Bronx,BX09,5,2019,11,9.83,0.99
Bronx,BX10,5,2019,11,22.04,1.34
Bronx,BX11,5,2019,11,18.53,1.27
Bronx,BX12,5,2019,11,22.66,1.36
Manhattan,MN01,5,2019,11,27.25,1.44
Manhattan,MN02,5,2019,11,27.65,1.44
Manhattan,MN03,5,2019,11,14.03,1.15
Manhattan,MN04,5,2019,11,23.16,1.36
Manhattan,MN05,5,2019,11,21.45,1.33
Manhattan,MN06,5,2019,11,23.68,1.37
Manhattan,MN07,5,2019,11,27.63,1.44
Manhattan,MN08,5,2019,11,26.92,1.43
Manhattan,MN09,5,2019,11,18.11,1.26
Manhattan,MN10,5,2019,11,13.83,1.14
Manhattan,MN11,5,2019,11,11.24,1.05
Manhattan,MN12,5,2019,11,16.27,1.21
Queens East,QE07,5,2019,11,22.29,1.35
Queens East,QE08,5,2019,11,18.07,1.26
Queens East,QE10,5,2019,11,20.23,1.31
Queens East,QE11,5,2019,11,26.16,1.42
Queens East,QE12,5,2019,11,17.81,1.25
Queens East,QE13,5,2019,11,23.91,1.38
Queens East,QE14,5,2019,11,14.24,1.15
Queens West,QW01,5,2019,11,20.18,1.30
Queens West,QW02,5,2019,11,22.00,1.34
Queens West,QW03,5,2019,11,14.66,1.17
Queens West,QW04,5,2019,11,15.11,1.18
Queens West,QW05,5,2019,11,24.65,1.39
Queens West,QW06,5,2019,11,23.75,1.38
Queens West,QW09,5,2019,11,24.79,1.39
Staten Island,SI01,5,2019,11,27.07,1.43
Staten Island,SI02,5,2019,11,27.31,1.44
Staten Island,SI03,5,2019,11,29.54,1.47
Brooklyn North,BKN01,4,2019,10,15.83,1.20
Brooklyn North,BKN02,4,2019,10,20.48,1.31
Brooklyn North,BKN03,4,2019,10,12.33,1.09
Brooklyn North,BKN04,4,2019,10,15.19,1.18
Brooklyn North,BKN05,4,2019,10,10.12,1.01
Brooklyn North,BKN08,4,2019,10,16.24,1.21
Brooklyn North,BKN09,4,2019,10,13.42,1.13
Brooklyn North,BKN16,4,2019,10,9.65,0.98
Brooklyn North,BKN17,4,2019,10,13.42,1.13
Brooklyn South,BKS06,4,2019,10,29.02,1.46
Brooklyn South,BKS07,4,2019,10,20.26,1.31
Brooklyn South,BKS10,4,2019,10,24.50,1.39
Brooklyn South,BKS11,4,2019,10,18.77,1.27
Brooklyn South,BKS12,4,2019,10,15.17,1.18
Brooklyn South,BKS13,4,2019,10,14.21,1.15
Brooklyn South,BKS14,4,2019,10,14.50,1.16
Brooklyn South,BKS15,4,2019,10,19.05,1.28
Brooklyn South,BKS18,4,2019,10,14.64,1.17
Bronx,BX01,4,2019,10,7.11,0.85
Bronx,BX02,4,2019,10,13.20,1.12
Bronx,BX03,4,2019,10,9.14,0.96
Bronx,BX04,4,2019,10,11.58,1.06
Bronx,BX05,4,2019,10,10.86,1.04
Bronx,BX06,4,2019,10,14.36,1.16
Bronx,BX07,4,2019,10,14.29,1.16
Bronx,BX08,4,2019,10,99.95,2.00
Bronx,BX09,4,2019,10,9.74,0.99
Bronx,BX10,4,2019,10,20.28,1.31
Bronx,BX11,4,2019,10,16.43,1.22
Bronx,BX12,4,2019,10,20.35,1.31
Manhattan,MN01,4,2019,10,27.20,1.43
Manhattan,MN02,4,2019,10,27.05,1.43
Manhattan,MN03,4,2019,10,14.50,1.16
Manhattan,MN04,4,2019,10,22.83,1.36
Manhattan,MN05,4,2019,10,20.61,1.31
Manhattan,MN06,4,2019,10,23.38,1.37
Manhattan,MN07,4,2019,10,27.05,1.43
Manhattan,MN08,4,2019,10,26.34,1.42
Manhattan,MN09,4,2019,10,18.84,1.28
Manhattan,MN10,4,2019,10,13.67,1.14
Manhattan,MN11,4,2019,10,11.77,1.07
Manhattan,MN12,4,2019,10,15.74,1.20
Queens East,QE07,4,2019,10,20.39,1.31
Queens East,QE08,4,2019,10,16.60,1.22
Queens East,QE10,4,2019,10,19.04,1.28
Queens East,QE11,4,2019,10,24.10,1.38
Queens East,QE12,4,2019,10,13.71,1.14
Queens East,QE13,4,2019,10,22.13,1.35
Queens East,QE14,4,2019,10,13.60,1.13
Queens West,QW01,4,2019,10,19.37,1.29
Queens West,QW02,4,2019,10,21.02,1.32
Queens West,QW03,4,2019,10,14.01,1.15
Queens West,QW04,4,2019,10,14.79,1.17
Queens West,QW05,4,2019,10,23.31,1.37
Queens West,QW06,4,2019,10,20.40,1.31
Queens West,QW09,4,2019,10,22.15,1.35
Staten Island,SI01,4,2019,10,19.95,1.30
Staten Island,SI02,4,2019,10,19.26,1.28
Staten Island,SI03,4,2019,10,20.21,1.31
Brooklyn North,BKN01,3,2019,9,16.35,1.21
Brooklyn North,BKN02,3,2019,9,20.93,1.32
Brooklyn North,BKN03,3,2019,9,12.63,1.10
Brooklyn North,BKN04,3,2019,9,15.79,1.20
Brooklyn North,BKN05,3,2019,9,10.32,1.01
Brooklyn North,BKN08,3,2019,9,17.28,1.24
Brooklyn North,BKN09,3,2019,9,13.80,1.14
Brooklyn North,BKN16,3,2019,9,9.85,0.99
Brooklyn North,BKN17,3,2019,9,14.04,1.15
Brooklyn South,BKS06,3,2019,9,29.53,1.47
Brooklyn South,BKS07,3,2019,9,21.05,1.32
Brooklyn South,BKS10,3,2019,9,24.22,1.38
Brooklyn South,BKS11,3,2019,9,18.82,1.27
Brooklyn South,BKS12,3,2019,9,16.02,1.20
Brooklyn South,BKS13,3,2019,9,14.76,1.17
Brooklyn South,BKS14,3,2019,9,15.11,1.18
Brooklyn South,BKS15,3,2019,9,19.74,1.30
Brooklyn South,BKS18,3,2019,9,15.06,1.18
Bronx,BX01,3,2019,9,7.15,0.85
Bronx,BX02,3,2019,9,13.37,1.13
Bronx,BX03,3,2019,9,9.27,0.97
Bronx,BX04,3,2019,9,12.06,1.08
Bronx,BX05,3,2019,9,11.15,1.05
Bronx,BX06,3,2019,9,14.11,1.15
Bronx,BX07,3,2019,9,14.51,1.16
Bronx,BX08,3,2019,9,21.48,1.33
Bronx,BX09,3,2019,9,99.83,2.00
Bronx,BX10,3,2019,9,20.66,1.32
Bronx,BX11,3,2019,9,16.76,1.22
Bronx,BX12,3,2019,9,20.42,1.31
Manhattan,MN01,3,2019,9,27.93,1.45
Manhattan,MN02,3,2019,9,27.14,1.43
Manhattan,MN03,3,2019,9,14.66,1.17
Manhattan,MN04,3,2019,9,23.02,1.36
Manhattan,MN05,3,2019,9,20.88,1.32
Manhattan,MN06,3,2019,9,23.72,1.38
Manhattan,MN07,3,2019,9,27.33,1.44
Manhattan,MN08,3,2019,9,26.86,1.43
Manhattan,MN09,3,2019,9,18.71,1.27
Manhattan,MN10,3,2019,9,14.37,1.16
Manhattan,MN11,3,2019,9,11.67,1.07
Manhattan,MN12,3,2019,9,16.33,1.21
Queens East,QE07,3,2019,9,20.30,1.31
Queens East,QE08,3,2019,9,17.18,1.24
Queens East,QE10,3,2019,9,19.52,1.29
Queens East,QE11,3,2019,9,24.40,1.39
Queens East,QE12,3,2019,9,13.98,1.15
Queens East,QE13,3,2019,9,22.93,1.36
Queens East,QE14,3,2019,9,14.49,1.16
Queens West,QW01,3,2019,9,19.97,1.30
Queens West,QW02,3,2019,9,21.68,1.34
Queens West,QW03,3,2019,9,14.59,1.16
Queens West,QW04,3,2019,9,15.28,1.18
Queens West,QW05,3,2019,9,23.84,1.38
Queens West,QW06,3,2019,9,20.90,1.32
Queens West,QW09,3,2019,9,22.38,1.35
Staten Island,SI01,3,2019,9,20.37,1.31
Staten Island,SI02,3,2019,9,99.45,2.00
Staten Island,SI03,3,2019,9,20.66,1.32
Brooklyn North,BKN01,10,2018,4,15.87,1.20
Brooklyn North,BKN02,10,2018,4,20.33,1.31
Brooklyn North,BKN03,10,2018,4,12.34,1.09
Brooklyn North,BKN04,10,2018,4,15.59,1.19
Brooklyn North,BKN05,10,2018,4,10.30,1.01
Brooklyn North,BKN08,10,2018,4,16.69,1.22
Brooklyn North,BKN09,10,2018,4,12.89,1.11
Brooklyn North,BKN16,10,2018,4,9.29,0.97
Brooklyn North,BKN17,10,2018,4,13.86,1.14
Brooklyn South,BKS06,10,2018,4,29.11,1.46
Brooklyn South,BKS07,10,2018,4,22.73,1.36
Brooklyn South,BKS10,10,2018,4,23.74,1.38
Brooklyn South,BKS11,10,2018,4,19.10,1.28
Brooklyn South,BKS12,10,2018,4,15.55,1.19
Brooklyn South,BKS13,10,2018,4,14.55,1.16
Brooklyn South,BKS14,10,2018,4,15.35,1.19
Brooklyn South,BKS15,10,2018,4,19.74,1.30
Brooklyn South,BKS18,10,2018,4,15.60,1.19
Bronx,BX01,10,2018,4,6.92,0.84
Bronx,BX02,10,2018,4,13.36,1.13
Bronx,BX03,10,2018,4,9.92,1.00
Bronx,BX04,10,2018,4,11.62,1.07
Bronx,BX05,10,2018,4,11.30,1.05
Bronx,BX06,10,2018,4,13.75,1.14
Bronx,BX07,10,2018,4,14.16,1.15
Bronx,BX08,10,2018,4,20.95,1.32
Bronx,BX09,10,2018,4,9.82,0.99
Bronx,BX10,10,2018,4,19.97,1.30
Bronx,BX11,10,2018,4,16.59,1.22
Bronx,BX12,10,2018,4,20.37,1.31
Manhattan,MN01,10,2018,4,27.24,1.44
Manhattan,MN02,10,2018,4,26.19,1.42
Manhattan,MN03,10,2018,4,14.70,1.17
Manhattan,MN04,10,2018,4,22.46,1.35
Manhattan,MN05,10,2018,4,20.65,1.31
Manhattan,MN06,10,2018,4,22.62,1.35
Manhattan,MN07,10,2018,4,27.38,1.44
Manhattan,MN08,10,2018,4,26.63,1.43
Manhattan,MN09,10,2018,4,18.25,1.26
Manhattan,MN10,10,2018,4,14.64,1.17
Manhattan,MN11,10,2018,4,11.34,1.05
Manhattan,MN12,10,2018,4,16.16,1.21
Queens East,QE07,10,2018,4,21.35,1.33
Queens East,QE08,10,2018,4,17.48,1.24
Queens East,QE10,10,2018,4,19.44,1.29
Queens East,QE11,10,2018,4,26.23,1.42
Queens East,QE12,10,2018,4,14.03,1.15
Queens East,QE13,10,2018,4,17.72,1.25
Queens East,QE14,10,2018,4,13.49,1.13
Queens West,QW01,10,2018,4,19.78,1.30
Queens West,QW02,10,2018,4,21.88,1.34
Queens West,QW03,10,2018,4,14.43,1.16
Queens West,QW04,10,2018,4,15.23,1.18
Queens West,QW05,10,2018,4,23.68,1.37
Queens West,QW06,10,2018,4,,
Queens West,QW09,10,2018,4,22.50,1.35
Staten Island,SI01,10,2018,4,19.87,1.30
Staten Island,SI02,10,2018,4,19.70,1.29
Staten Island,SI03,10,2018,4,19.92,1.30
Brooklyn North,BKN01,2,2018,8,16.24,1.21
Brooklyn North,BKN02,2,2018,8,20.13,1.30
Brooklyn North,BKN03,2,2018,8,11.95,1.08
Brooklyn North,BKN04,2,2018,8,14.73,1.17
Brooklyn North,BKN05,2,2018,8,9.55,0.98
Brooklyn North,BKN08,2,2018,8,15.45,1.19
Brooklyn North,BKN09,2,2018,8,12.41,1.09
Brooklyn North,BKN16,2,2018,8,9.30,0.97
Brooklyn North,BKN17,2,2018,8,13.48,1.13
Brooklyn South,BKS06,2,2018,8,27.73,1.44
Brooklyn South,BKS07,2,2018,8,23.92,1.38
Brooklyn South,BKS10,2,2018,8,23.60,1.37
Brooklyn South,BKS11,2,2018,8,20.14,1.30
Brooklyn South,BKS12,2,2018,8,15.88,1.20
Brooklyn South,BKS13,2,2018,8,14.24,1.15
Brooklyn South,BKS14,2,2018,8,13.58,1.13
Brooklyn South,BKS15,2,2018,8,19.37,1.29
Brooklyn South,BKS18,2,2018,8,14.72,1.17
Bronx,BX01,2,2018,8,6.59,0.82
Bronx,BX02,2,2018,8,12.70,1.10
Bronx,BX03,2,2018,8,8.58,0.93
Bronx,BX04,2,2018,8,11.32,1.05
Bronx,BX05,2,2018,8,11.09,1.04
Bronx,BX06,2,2018,8,12.56,1.10
Bronx,BX07,2,2018,8,13.95,1.14
Bronx,BX08,2,2018,8,19.59,1.29
Bronx,BX09,2,2018,8,9.66,0.98
Bronx,BX10,2,2018,8,20.35,1.31
Bronx,BX11,2,2018,8,17.18,1.24
Bronx,BX12,2,2018,8,16.51,1.22
Manhattan,MN01,2,2018,8,25.31,1.40
Manhattan,MN02,2,2018,8,23.91,1.38
Manhattan,MN03,2,2018,8,13.23,1.12
Manhattan,MN04,2,2018,8,21.44,1.33
Manhattan,MN05,2,2018,8,17.71,1.25
Manhattan,MN06,2,2018,8,21.30,1.33
Manhattan,MN07,2,2018,8,25.19,1.40
Manhattan,MN08,2,2018,8,24.75,1.39
Manhattan,MN09,2,2018,8,17.15,1.23
Manhattan,MN10,2,2018,8,13.98,1.15
Manhattan,MN11,2,2018,8,11.29,1.05
Manhattan,MN12,2,2018,8,15.06,1.18
Queens East,QE07,2,2018,8,17.48,1.24
Queens East,QE08,2,2018,8,15.74,1.20
Queens East,QE10,2,2018,8,20.04,1.30
Queens East,QE11,2,2018,8,26.37,1.42
Queens East,QE12,2,2018,8,13.75,1.14
Queens East,QE13,2,2018,8,16.94,1.23
Queens East,QE14,2,2018,8,11.25,1.05
Queens West,QW01,2,2018,8,99.36,2.00
Queens West,QW02,2,2018,8,19.45,1.29
Queens West,QW03,2,2018,8,14.05,1.15
Queens West,QW04,2,2018,8,14.69,1.17
Queens West,QW05,2,2018,8,23.59,1.37
Queens West,QW06,2,2018,8,20.61,1.31
Queens West,QW09,2,2018,8,17.74,1.25
Staten Island,SI01,2,2018,8,19.86,1.30
Staten Island,SI02,2,2018,8,18.58,1.27
Staten Island,SI03,2,2018,8,19.87,1.30
Brooklyn North,BKN01,6,2018,12,16.33,1.21
Brooklyn North,BKN02,6,2018,12,21.91,1.34
Brooklyn North,BKN03,6,2018,12,12.64,1.10
Brooklyn North,BKN04,6,2018,12,15.47,1.19
Brooklyn North,BKN05,6,2018,12,10.73,1.03
Brooklyn North,BKN08,6,2018,12,17.24,1.24
Brooklyn North,BKN09,6,2018,12,13.70,1.14
Brooklyn North,BKN16,6,2018,12,10.08,1.00
Brooklyn North,BKN17,6,2018,12,15.02,1.18
Brooklyn South,BKS06,6,2018,12,31.19,1.49
Brooklyn South,BKS07,6,2018,12,24.20,1.38
Brooklyn South,BKS10,6,2018,12,26.36,1.42
Brooklyn South,BKS11,6,2018,12,21.07,1.32
Brooklyn South,BKS12,6,2018,12,16.74,1.22
Brooklyn South,BKS13,6,2018,12,15.55,1.19
Brooklyn South,BKS14,6,2018,12,15.58,1.19
Brooklyn South,BKS15,6,2018,12,22.34,1.35
Brooklyn South,BKS18,6,2018,12,17.31,1.24
Bronx,BX01,6,2018,12,7.21,0.86
Bronx,BX02,6,2018,12,13.15,1.12
Bronx,BX03,6,2018,12,9.73,0.99
Bronx,BX04,6,2018,12,11.37,1.06
Bronx,BX05,6,2018,12,11.29,1.05
Bronx,BX06,6,2018,12,13.24,1.12
Bronx,BX07,6,2018,12,14.33,1.16
Bronx,BX08,6,2018,12,21.88,1.34
Bronx,BX09,6,2018,12,10.29,1.01
Bronx,BX10,6,2018,12,21.94,1.34
Bronx,BX11,6,2018,12,17.84,1.25
Bronx,BX12,6,2018,12,22.06,1.34
Manhattan,MN01,6,2018,12,27.96,1.45
Manhattan,MN02,6,2018,12,27.26,1.44
Manhattan,MN03,6,2018,12,14.55,1.16
Manhattan,MN04,6,2018,12,23.29,1.37
Manhattan,MN05,6,2018,12,20.83,1.32
Manhattan,MN06,6,2018,12,23.62,1.37
Manhattan,MN07,6,2018,12,28.27,1.45
Manhattan,MN08,6,2018,12,27.43,1.44
Manhattan,MN09,6,2018,12,19.29,1.29
Manhattan,MN10,6,2018,12,15.71,1.20
Manhattan,MN11,6,2018,12,11.44,1.06
Manhattan,MN12,6,2018,12,16.89,1.23
Queens East,QE07,6,2018,12,22.97,1.36
Queens East,QE08,6,2018,12,21.33,1.33
Queens East,QE10,6,2018,12,22.03,1.34
Queens East,QE11,6,2018,12,29.33,1.47
Queens East,QE12,6,2018,12,15.47,1.19
Queens East,QE13,6,2018,12,19.18,1.28
Queens East,QE14,6,2018,12,15.47,1.19
Queens West,QW01,6,2018,12,20.97,1.32
Queens West,QW02,6,2018,12,23.71,1.37
Queens West,QW03,6,2018,12,16.09,1.21
Queens West,QW04,6,2018,12,16.79,1.22
Queens West,QW05,6,2018,12,26.65,1.43
Queens West,QW06,6,2018,12,22.67,1.36
Queens West,QW09,6,2018,12,26.12,1.42
Staten Island,SI01,6,2018,12,22.17,1.35
Staten Island,SI02,6,2018,12,21.67,1.34
Staten Island,SI03,6,2018,12,22.98,1.36
Brooklyn North,BKN01,8,2018,2,15.33,1.19
Brooklyn North,BKN02,8,2018,2,19.86,1.30
Brooklyn North,BKN03,8,2018,2,12.43,1.09
Brooklyn North,BKN04,8,2018,2,15.55,1.19
Brooklyn North,BKN05,8,2018,2,10.45,1.02
Brooklyn North,BKN08,8,2018,2,17.24,1.24
Brooklyn North,BKN09,8,2018,2,13.28,1.12
Brooklyn North,BKN16,8,2018,2,99.57,2.00
Brooklyn North,BKN17,8,2018,2,14.25,1.15
Brooklyn South,BKS06,8,2018,2,29.75,1.47
Brooklyn South,BKS07,8,2018,2,23.30,1.37
Brooklyn South,BKS10,8,2018,2,24.57,1.39
Brooklyn South,BKS11,8,2018,2,20.36,1.31
Brooklyn South,BKS12,8,2018,2,15.87,1.20
Brooklyn South,BKS13,8,2018,2,15.12,1.18
Brooklyn South,BKS14,8,2018,2,15.55,1.19
Brooklyn South,BKS15,8,2018,2,20.53,1.31
Brooklyn South,BKS18,8,2018,2,16.34,1.21
Bronx,BX01,8,2018,2,6.97,0.84
Bronx,BX02,8,2018,2,13.13,1.12
Bronx,BX03,8,2018,2,9.52,0.98
Bronx,BX04,8,2018,2,11.70,1.07
Bronx,BX05,8,2018,2,11.10,1.05
Bronx,BX06,8,2018,2,14.15,1.15
Bronx,BX07,8,2018,2,14.25,1.15
Bronx,BX08,8,2018,2,20.56,1.31
Bronx,BX09,8,2018,2,9.85,0.99
Bronx,BX10,8,2018,2,20.10,1.30
Bronx,BX11,8,2018,2,16.48,1.22
Bronx,BX12,8,2018,2,20.09,1.30
Manhattan,MN01,8,2018,2,26.40,1.42
Manhattan,MN02,8,2018,2,25.60,1.41
Manhattan,MN03,8,2018,2,14.33,1.16
Manhattan,MN04,8,2018,2,21.98,1.34
Manhattan,MN05,8,2018,2,20.32,1.31
Manhattan,MN06,8,2018,2,23.13,1.36
Manhattan,MN07,8,2018,2,27.32,1.44
Manhattan,MN08,8,2018,2,26.17,1.42
Manhattan,MN09,8,2018,2,18.19,1.26
Manhattan,MN10,8,2018,2,14.66,1.17
Manhattan,MN11,8,2018,2,10.93,1.04
Manhattan,MN12,8,2018,2,16.45,1.22
Queens East,QE07,8,2018,2,22.24,1.35
Queens East,QE08,8,2018,2,21.86,1.34
Queens East,QE10,8,2018,2,21.27,1.33
Queens East,QE11,8,2018,2,28.57,1.46
Queens East,QE12,8,2018,2,16.89,1.23
Queens East,QE13,8,2018,2,20.15,1.30
Queens East,QE14,8,2018,2,16.07,1.21
Queens West,QW01,8,2018,2,23.22,1.37
Queens West,QW02,8,2018,2,22.78,1.36
Queens West,QW03,8,2018,2,14.98,1.18
Queens West,QW04,8,2018,2,95.59,1.98
Queens West,QW05,8,2018,2,24.48,1.39
Queens West,QW06,8,2018,2,21.89,1.34
Queens West,QW09,8,2018,2,24.51,1.39
Staten Island,SI01,8,2018,2,19.37,1.29
Staten Island,SI02,8,2018,2,21.17,1.33
Staten Island,SI03,8,2018,2,21.64,1.34
Brooklyn North,BKN01,7,2018,1,15.92,1.20
Brooklyn North,BKN02,7,2018,1,22.01,1.34
Brooklyn North,BKN03,7,2018,1,13.17,1.12
Brooklyn North,BKN04,7,2018,1,16.30,1.21
Brooklyn North,BKN05,7,2018,1,11.37,1.06
Brooklyn North,BKN08,7,2018,1,18.48,1.27
Brooklyn North,BKN09,7,2018,1,99.65,2.00
Brooklyn North,BKN16,7,2018,1,9.83,0.99
Brooklyn North,BKN17,7,2018,1,15.95,1.20
Brooklyn South,BKS06,7,2018,1,31.73,1.50
Brooklyn South,BKS07,7,2018,1,24.55,1.39
Brooklyn South,BKS10,7,2018,1,25.87,1.41
Brooklyn South,BKS11,7,2018,1,21.35,1.33
Brooklyn South,BKS12,7,2018,1,16.34,1.21
Brooklyn South,BKS13,7,2018,1,15.34,1.19
Brooklyn South,BKS14,7,2018,1,16.57,1.22
Brooklyn South,BKS15,7,2018,1,21.79,1.34
Brooklyn South,BKS18,7,2018,1,18.06,1.26
Bronx,BX01,7,2018,1,8.05,0.91
Bronx,BX02,7,2018,1,13.63,1.13
Bronx,BX03,7,2018,1,10.67,1.03
Bronx,BX04,7,2018,1,13.05,1.12
Bronx,BX05,7,2018,1,11.95,1.08
Bronx,BX06,7,2018,1,14.32,1.16
Bronx,BX07,7,2018,1,15.70,1.20
Bronx,BX08,7,2018,1,22.43,1.35
Bronx,BX09,7,2018,1,10.97,1.04
Bronx,BX10,7,2018,1,21.75,1.34
Bronx,BX11,7,2018,1,17.96,1.25
Bronx,BX12,7,2018,1,21.32,1.33
Manhattan,MN01,7,2018,1,27.53,1.44
Manhattan,MN02,7,2018,1,27.91,1.45
Manhattan,MN03,7,2018,1,15.53,1.19
Manhattan,MN04,7,2018,1,22.56,1.35
Manhattan,MN05,7,2018,1,21.30,1.33
Manhattan,MN06,7,2018,1,23.85,1.38
Manhattan,MN07,7,2018,1,28.35,1.45
Manhattan,MN08,7,2018,1,27.91,1.45
Manhattan,MN09,7,2018,1,19.02,1.28
Manhattan,MN10,7,2018,1,16.67,1.22
Manhattan,MN11,7,2018,1,11.73,1.07
Manhattan,MN12,7,2018,1,17.31,1.24
Queens East,QE07,7,2018,1,23.41,1.37
Queens East,QE08,7,2018,1,22.01,1.34
Queens East,QE10,7,2018,1,22.87,1.36
Queens East,QE11,7,2018,1,30.00,1.48
Queens East,QE12,7,2018,1,17.32,1.24
Queens East,QE13,7,2018,1,21.24,1.33
Queens East,QE14,7,2018,1,16.11,1.21
Queens West,QW01,7,2018,1,23.50,1.37
Queens West,QW02,7,2018,1,24.04,1.38
Queens West,QW03,7,2018,1,16.27,1.21
Queens West,QW04,7,2018,1,16.82,1.23
Queens West,QW05,7,2018,1,26.00,1.41
Queens West,QW06,7,2018,1,22.97,1.36
Queens West,QW09,7,2018,1,25.07,1.40
Staten Island,SI01,7,2018,1,21.74,1.34
Staten Island,SI02,7,2018,1,23.24,1.37
Staten Island,SI03,7,2018,1,24.40,1.39
Brooklyn North,BKN01,1,2018,7,16.41,1.22
Brooklyn North,BKN02,1,2018,7,18.94,1.28
Brooklyn North,BKN03,1,2018,7,11.72,1.07
Brooklyn North,BKN04,1,2018,7,14.46,1.16
Brooklyn North,BKN05,1,2018,7,9.80,0.99
Brooklyn North,BKN08,1,2018,7,15.53,1.19
Brooklyn North,BKN09,1,2018,7,12.09,1.08
Brooklyn North,BKN16,1,2018,7,9.56,0.98
Brooklyn North,BKN17,1,2018,7,13.23,1.12
Brooklyn South,BKS06,1,2018,7,98.32,1.99
Brooklyn South,BKS07,1,2018,7,21.43,1.33
Brooklyn South,BKS10,1,2018,7,24.01,1.38
Brooklyn South,BKS11,1,2018,7,20.93,1.32
Brooklyn South,BKS12,1,2018,7,15.73,1.20
Brooklyn South,BKS13,1,2018,7,14.42,1.16
Brooklyn South,BKS14,1,2018,7,13.69,1.14
Brooklyn South,BKS15,1,2018,7,20.38,1.31
Brooklyn South,BKS18,1,2018,7,15.04,1.18
Bronx,BX01,1,2018,7,6.67,0.82
Bronx,BX02,1,2018,7,12.67,1.10
Bronx,BX03,1,2018,7,8.88,0.95
Bronx,BX04,1,2018,7,11.30,1.05
Bronx,BX05,1,2018,7,11.38,1.06
Bronx,BX06,1,2018,7,12.18,1.09
Bronx,BX07,1,2018,7,14.24,1.15
Bronx,BX08,1,2018,7,20.03,1.30
Bronx,BX09,1,2018,7,9.98,1.00
Bronx,BX10,1,2018,7,18.94,1.28
Bronx,BX11,1,2018,7,13.91,1.14
Bronx,BX12,1,2018,7,16.50,1.22
Manhattan,MN01,1,2018,7,25.08,1.40
Manhattan,MN02,1,2018,7,23.61,1.37
Manhattan,MN03,1,2018,7,13.02,1.11
Manhattan,MN04,1,2018,7,21.02,1.32
Manhattan,MN05,1,2018,7,17.78,1.25
Manhattan,MN06,1,2018,7,21.53,1.33
Manhattan,MN07,1,2018,7,25.21,1.40
Manhattan,MN08,1,2018,7,24.76,1.39
Manhattan,MN09,1,2018,7,16.70,1.22
Manhattan,MN10,1,2018,7,14.14,1.15
Manhattan,MN11,1,2018,7,10.98,1.04
Manhattan,MN12,1,2018,7,15.05,1.18
Queens East,QE07,1,2018,7,17.26,1.24
Queens East,QE08,1,2018,7,16.14,1.21
Queens East,QE10,1,2018,7,19.96,1.30
Queens East,QE11,1,2018,7,26.28,1.42
Queens East,QE12,1,2018,7,13.93,1.14
Queens East,QE13,1,2018,7,17.47,1.24
Queens East,QE14,1,2018,7,11.73,1.07
Queens West,QW01,1,2018,7,19.29,1.29
Queens West,QW02,1,2018,7,19.46,1.29
Queens West,QW03,1,2018,7,14.17,1.15
Queens West,QW04,1,2018,7,14.93,1.17
Queens West,QW05,1,2018,7,23.72,1.38
Queens West,QW06,1,2018,7,20.54,1.31
Queens West,QW09,1,2018,7,18.08,1.26
Staten Island,SI01,1,2018,7,20.30,1.31
Staten Island,SI02,1,2018,7,19.62,1.29
Staten Island,SI03,1,2018,7,20.36,1.31
Brooklyn North,BKN01,12,2018,6,16.12,1.21
Brooklyn North,BKN02,12,2018,6,20.65,1.31
Brooklyn North,BKN03,12,2018,6,99.52,2.00
Brooklyn North,BKN04,12,2018,6,15.79,1.20
Brooklyn North,BKN05,12,2018,6,10.27,1.01
Brooklyn North,BKN08,12,2018,6,16.77,1.22
Brooklyn North,BKN09,12,2018,6,12.35,1.09
Brooklyn North,BKN16,12,2018,6,9.37,0.97
Brooklyn North,BKN17,12,2018,6,13.68,1.14
Brooklyn South,BKS06,12,2018,6,29.04,1.46
Brooklyn South,BKS07,12,2018,6,21.96,1.34
Brooklyn South,BKS10,12,2018,6,24.12,1.38
Brooklyn South,BKS11,12,2018,6,19.08,1.28
Brooklyn South,BKS12,12,2018,6,15.58,1.19
Brooklyn South,BKS13,12,2018,6,14.57,1.16
Brooklyn South,BKS14,12,2018,6,15.20,1.18
Brooklyn South,BKS15,12,2018,6,19.44,1.29
Brooklyn South,BKS18,12,2018,6,14.93,1.17
Bronx,BX01,12,2018,6,7.35,0.87
Bronx,BX02,12,2018,6,13.44,1.13
Bronx,BX03,12,2018,6,9.34,0.97
Bronx,BX04,12,2018,6,12.13,1.08
Bronx,BX05,12,2018,6,91.60,1.96
