Zone,District,Fiscal Month Number,Year,Month,Diversion Rate-Total,Diversion Rate-Total LOG
Queens East,QE13,2,2019,8,22.70318327,1.356086755
Queens East,QE14,2,2019,8,14.07329696,1.148395852
Queens West,QW01,2,2019,8,19.6947932,1.294351425
Queens West,QW02,2,2019,8,21.25116919,1.327382829
Queens West,QW03,2,2019,8,13.97592272,1.145380491
Queens West,QW04,2,2019,8,14.78963623,1.169957492
Queens West,QW05,2,2019,8,22.78454896,1.357640436
Queens West,QW06,2,2019,8,20.30543559,1.30761231
Queens West,QW09,2,2019,8,21.22398109,1.32682685
Staten Island,SI01,2,2019,8,19.81685296,1.297034687
Staten Island,SI02,2,2019,8,17.94838925,1.25402548
Staten Island,SI03,2,2019,8,19.33930309,1.28644082
Brooklyn North,BKN01,6,2019,12,16.50322952,1.21756894
Brooklyn North,BKN02,6,2019,12,21.21757576,1.326695762
Brooklyn North,BKN03,6,2019,12,12.36852757,1.092318001
Brooklyn North,BKN04,6,2019,12,16.28088719,1.211678067
Brooklyn North,BKN05,6,2019,12,10.59227868,1.024989398
Brooklyn North,BKN08,6,2019,12,17.1292167,1.233737504
Brooklyn North,BKN09,6,2019,12,14.32826896,1.156193725
Brooklyn North,BKN16,6,2019,12,10.80507438,1.033627761
Brooklyn North,BKN17,6,2019,12,,
Brooklyn South,BKS06,6,2019,12,30.02538119,1.47748853
Brooklyn South,BKS07,6,2019,12,20.61309115,1.314143124
Brooklyn South,BKS10,6,2019,12,25.71923918,1.410258117
Brooklyn South,BKS11,6,2019,12,20.06949684,1.302536484
Brooklyn South,BKS12,6,2019,12,16.28726396,1.211848135
Brooklyn South,BKS13,6,2019,12,14.74932881,1.168772258
Brooklyn South,BKS14,6,2019,12,15.3199946,1.185258612
Brooklyn South,BKS15,6,2019,12,20.39101079,1.309438754
Brooklyn South,BKS18,6,2019,12,16.42488594,1.215502362
Bronx,BX01,6,2019,12,6.970537542,0.843266271
Bronx,BX02,6,2019,12,13.88329624,1.142492591
Bronx,BX03,6,2019,12,8.684253053,0.93873247
Bronx,BX04,6,2019,12,12.02439524,1.080063243
Bronx,BX05,6,2019,12,11.25429281,1.05131821
Bronx,BX06,6,2019,12,13.17303603,1.11968588
Bronx,BX07,6,2019,12,15.21748328,1.182342833
