Zone,District,Year,Month,Capture Rate-Paper ,Capture Rate-MGP,Capture Rate-Total
Manhattan,MN11,2019,8,41.18,31.54,37.05
Manhattan,MN12,2019,8,41.46,55.98,47.69
Queens East,QE07,2019,8,46.09,58.40,50.99
Queens East,QE08,2019,8,26.82,49.62,33.54
Queens East,QE10,2019,8,34.39,77.49,49.67
Queens East,QE11,2019,8,52.04,78.32,61.36
Queens East,QE12,2019,8,31.19,57.15,43.69
Queens East,QE13,2019,8,32.14,81.29,49.57
Queens East,QE14,2019,8,31.11,41.85,35.38
Queens West,QW01,2019,8,50.25,68.20,57.39
Queens West,QW02,2019,8,50.04,67.12,56.83
Queens West,QW03,2019,8,30.43,56.31,40.73
Queens West,QW04,2019,8,33.91,57.00,43.10
Queens West,QW05,2019,8,46.00,79.66,59.40
Queens West,QW06,2019,8,30.13,64.82,39.47
Queens West,QW09,2019,8,39.64,70.71,52.00
Staten Island,SI01,2019,8,38.75,69.43,49.63
Staten Island,SI02,2019,8,42.57,67.62,51.45
Staten Island,SI03,2019,8,45.37,76.08,56.25
Brooklyn North,BKN01,2019,12,52.27,46.84,50.05
Brooklyn North,BKN02,2019,12,34.52,58.04,41.20
Brooklyn North,BKN03,2019,12,36.42,41.99,38.70
Brooklyn North,BKN04,2019,12,39.36,69.02,51.51
Brooklyn North,BKN05,2019,12,26.65,43.41,33.51
Brooklyn North,BKN08,2019,12,49.72,54.97,51.87
Brooklyn North,BKN09,2019,12,32.23,46.83,37.55
Brooklyn North,BKN16,2019,12,25.92,39.05,31.30
Brooklyn North,BKN17,2019,12,28.94,59.90,40.21
Brooklyn South,BKS06,2019,12,48.58,79.48,57.35
Brooklyn South,BKS07,2019,12,44.90,68.81,53.60
Brooklyn South,BKS10,2019,12,55.90,72.63,61.99
Brooklyn South,BKS11,2019,12,46.44,59.97,51.36
Brooklyn South,BKS12,2019,12,50.36,44.79,48.08
Brooklyn South,BKS13,2019,12,45.39,45.41,45.40
Brooklyn South,BKS14,2019,12,34.20,52.11,39.80
Brooklyn South,BKS15,2019,12,49.37,59.92,53.21
Brooklyn South,BKS18,2019,12,33.27,62.17,42.51
Bronx,BX01,2019,12,20.36,23.35,21.71
Bronx,BX02,2019,12,38.00,52.86,44.69
Bronx,BX03,2019,12,25.73,30.67,27.95
Bronx,BX04,2019,12,32.12,44.45,37.67
Bronx,BX05,2019,12,29.61,44.31,36.23
Bronx,BX06,2019,12,33.83,41.27,37.18
Bronx,BX07,2019,12,38.28,62.06,48.98
Bronx,BX08,2019,12,38.58,74.29,49.75
Bronx,BX09,2019,12,25.76,44.77,33.55
Bronx,BX10,2019,12,41.70,80.95,55.99
Bronx,BX11,2019,12,35.87,55.60,43.05
Bronx,BX12,2019,12,34.78,73.10,48.73
Manhattan,MN01,2019,12,50.19,69.61,55.19
Manhattan,MN02,2019,12,43.78,79.24,52.91
Manhattan,MN03,2019,12,44.62,40.84,42.92
Manhattan,MN04,2019,12,36.68,71.81,45.72
Manhattan,MN05,2019,12,34.89,58.36,40.93
Manhattan,MN06,2019,12,38.94,70.56,47.08
Manhattan,MN07,2019,12,44.96,76.39,53.05
Manhattan,MN08,2019,12,46.98,74.14,53.97
Manhattan,MN09,2019,12,58.68,49.32,54.47
Manhattan,MN10,2019,12,42.59,51.88,46.77
Manhattan,MN11,2019,12,42.20,28.81,36.17
Manhattan,MN12,2019,12,48.11,55.38,51.38
Queens East,QE07,2019,12,49.98,62.89,54.68
Queens East,QE08,2019,12,28.55,50.66,34.83
Queens East,QE10,2019,12,36.81,76.66,49.55
Queens East,QE11,2019,12,49.16,73.61,56.97
Queens East,QE12,2019,12,32.17,64.47,45.70
Queens East,QE13,2019,12,30.98,82.51,47.45
Queens East,QE14,2019,12,33.91,41.12,36.53
Queens West,QW01,2019,12,49.33,70.28,56.96
Queens West,QW02,2019,12,48.97,67.28,55.64
Queens West,QW03,2019,12,32.45,61.36,42.97
Queens West,QW04,2019,12,35.56,60.20,44.53
Queens West,QW05,2019,12,49.55,82.12,61.41
Queens West,QW06,2019,12,32.03,66.42,40.88
Queens West,QW09,2019,12,41.85,73.10,53.23
Staten Island,SI01,2019,12,39.49,70.35,49.35
Staten Island,SI02,2019,12,43.42,68.17,51.33
